본관	파	이름	파(한자)	이표기	상위	계	파조	파조(한자)	수록 인물수	파조 노드
김해 김씨	승지공파	승지공파	承旨公派			진의계	김간	金侃		
김해 김씨	문경공파	문경공파	文敬公派			진의계	김탁	金琢		
김해 김씨	부사공파	부사공파	府使公派			진의계	김근	金瑾		
김해 김씨	한림공파	한림공파 (진의계)	翰林公派			진의계	김관	金王+寬		
김해 김씨	충정공파	충정공파 (진의계)	忠貞公派			진의계	김구	金球		
김해 김씨	도사공파	도사공파 (김연)	都事公派			진의계	김연	金璉		
김해 김씨	승정공파	승정공파	承政公派			진의계	김현	金現		
김해 김씨	휴은공파	휴은공파	休隱公派			진의계	김호	金琥		
김해 김씨	장사군파	장사군파	長沙郡派			진의계	김선(金璘) → 무장 김씨			
김해 김씨	도사공파	도사공파 (김린)	都事公派			진의계	김린	金璘		
김해 김씨	대제학공파	대제학공파	大提學公派			진의계	김득하	金得河		
김해 김씨	동정공파	동정공파	同正公派			진의계	김호	金灝		
김해 김씨	금성군파	금성군파	金城君派			진의계	김도	金濤		
김해 김씨	도총관공파	도총관공파 (진의계)	都總管公派			진의계	김경신	金敬臣		
김해 김씨	판윤공파	판윤공파	判尹公派			진의계	김경보	金敬輔		
김해 김씨	충경공파	충경공파	忠景公派			천여계	김대리	金大理		
김해 김씨	첨정공파	첨정공파	僉正公派			천여계	김덕휴	金德休		
전주 이씨	효령대군파	효령대군파	孝寧大君派				효령대군	孝寧大君		wd:Q483255
전주 이씨	양녕대군파	양녕대군파	讓寧大君派				양녕대군	讓寧大君		wd:Q486251
